genre,link,rating,runtime,sinopse,sinopse_br,title,votes,year,gen_pred,target
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt1236246/,7.0,60,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins.","Depois de descobrir que seus pais são super-vilões disfarçados, um grupo de adolescentes se une para fugir de suas casas, a fim de reparar as ações de seus pais e descobrir os segredos de suas origens.",Fugitivos da Marvel,20767,2017,Action,0
"Action, Horror, Thriller",https://www.imdb.com//title/tt6138228/,5.4,90,"Stranded at the side of the road after a tire blowout, a group of friends become targets for an enigmatic sniper.","Encalhado na beira da estrada após uma explosão de pneu, um grupo de amigos se torna alvo de um atirador enigmático.",Downrange,4311,2017,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0300556/,5.7,116,A group of archaeologists become trapped in the past when they go there to retrieve a friend. The group must survive in fourteenth century France before they can escape back to the twenty-first century.,"Um grupo de arqueólogos fica preso no passado quando vai lá buscar um amigo. O grupo deve sobreviver na França do século XIV, antes de poder voltar ao século XXI.",Linha do Tempo,59486,2003,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt8179388/,5.2,98,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,Quatro campistas desajustados devem se unir e conquistar seus medos para salvar o mundo durante uma invasão alienígena.,Fim do Mundo,17266,2019,Action,1
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt0475944/,5.3,97,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart.","Quatro jovens que pertencem a um legado sobrenatural da Nova Inglaterra são forçados a combater um quinto poder que se acredita ter desaparecido. Enquanto isso, ciúmes e suspeitas ameaçam separá-los.",O Pacto,46045,2006,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt1921064/,5.5,105,"A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.","Um escravo que virou gladiador encontra-se em uma corrida contra o tempo para salvar seu verdadeiro amor, que foi prometido a um senador romano corrupto. Quando o Monte Vesúvio entra em erupção, ele deve lutar para salvar sua amada enquanto Pompéia se desintegra ao seu redor.",Pompeia,104791,2014,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt1409024/,6.8,106,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,O Agente J viaja a tempo dos primeiros dias de M.I.B. em 1969 para impedir que um alienígena assassine seu amigo Agente K e mude a história.,MIB: Homens de Preto III,328646,2012,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt0096684/,8.1,60,"During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time.","Durante uma experiência do governo em viagens no tempo, um cientista se vê preso no passado, ""pulando"" nos corpos de diferentes pessoas regularmente e resolvendo seus problemas enquanto tenta voltar para casa em seu próprio tempo.",Contra Tempos,25387,1989,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt0918940/,6.2,110,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Tarzan, acostumado a viver em Londres, é chamado de volta à sua antiga casa na selva para investigar as atividades em um acampamento de mineração.",A Lenda de Tarzan,160124,2016,Action,1
"Action, Adventure, Crime",https://www.imdb.com//title/tt1536537/,6.9,123,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.","Em um mundo em que as famílias são limitadas a um filho devido à superpopulação, um conjunto de septuplets idênticos deve evitar ser adormecido pelo governo e brigas perigosas enquanto investiga o desaparecimento de um deles.",Onde Está Segunda?,98221,2017,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0376994/,6.7,104,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","O governo humano desenvolve uma cura para mutações, e Jean Grey se torna uma persona incontrolável mais sombria chamada Phoenix, que se alia a Magneto, causando escalada em uma batalha total pelos X-Men.",X-Men: O Confronto Final,474369,2006,Action,1
"Action, Crime, Drama",https://www.imdb.com//title/tt0068135/,7.3,60,"A veteran cop with more than twenty years of experience is teamed with a young Inspector to solve crimes in San Francisco, California.","Um policial veterano com mais de vinte anos de experiência se une a um jovem inspetor para resolver crimes em San Francisco, Califórnia.",The Streets of San Francisco,4916,1972,Action,0
"Action, Fantasy, Horror",https://www.imdb.com//title/tt1403241/,5.3,91,A boy is trying to find out about his family history and stumbles upon a town of lycans.,Um garoto está tentando descobrir a história de sua família e tropeça em uma cidade de lycans.,Lobos,7962,2014,Action,0
"Action, Horror, Mystery",https://www.imdb.com//title/tt0432348/,6.6,93,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.,Um detetive e sua equipe devem resgatar 8 pessoas presas em uma fábrica pelo serial killer conhecido como Jigsaw.,Jogos Mortais 2,228477,2005,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1464540/,6.1,111,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.","Alienígenas e seus guardiões estão se escondendo na Terra de caçadores de recompensas intergalácticos. Eles só podem ser eliminados em ordem numérica, e o Número Quatro é o próximo na lista. Essa é a história dele.",Eu Sou o Número Quatro,224696,2011,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0081573/,6.8,127,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","Superman concorda em sacrificar seus poderes para iniciar um relacionamento com Lois Lane, sem saber que três criminosos kryptonianos que ele libertou inadvertidamente estão conquistando a Terra.",Superman II: A Aventura Continua,96125,1980,Action,0
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt6156584/,6.7,60,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","Sete anos depois que o mundo se tornou um terreno baldio congelado, os remanescentes da humanidade habitam um trem em movimento perpétuo que circunda o mundo, onde a guerra de classes, a injustiça social e a política de sobrevivência acontecem.",Expresso do Amanhã,16294,2020,Action,0
"Action, Adventure, Romance",https://www.imdb.com//title/tt0029843/,7.9,102,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.","Quando o príncipe John e os senhores normandos começam a oprimir as massas saxãs na ausência do rei Richard, um senhor saxão revida como líder fora da lei de um exército de guerrilha rebelde.",As Aventuras de Robin Hood,46215,1938,Action,0
"Action, Fantasy, Sci-Fi",https://www.imdb.com//title/tt7668518/,6.8,40,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","Descobrindo seus laços com uma ordem antiga secreta, um jovem que vive na moderna Istambul embarca em uma missão para salvar a cidade de um inimigo imortal.",O Último Guardião,30061,2018,Action,0
"Action, Adventure, Thriller",https://www.imdb.com//title/tt0117500/,7.4,136,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.","Um químico educado e um ex-presidiário devem liderar o contra-ataque quando um grupo desonesto de militares, liderado por um general renegado, ameaça um ataque de gás nervoso de Alcatraz contra San Francisco.",A Rocha,306295,1996,Action,0
"Action, Adventure, Horror",https://www.imdb.com//title/tt1093357/,4.9,89,"In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.","Em Moscou, cinco jovens lideram a acusação contra uma raça alienígena que atacou a Terra através de nossa fonte de alimentação.",A Hora da Escuridão,57056,2011,Action,1
"Action, Horror, Thriller",https://www.imdb.com//title/tt8228172/,5.3,82,A woman is kidnapped and finds herself an unwilling participant in a deadly game where women are hunted by masked men.,"Uma mulher é sequestrada e se vê participante relutante em um jogo mortal, onde as mulheres são caçadas por homens mascarados.",The Furies,2833,2019,Action,0
"Action, Crime, Drama",https://www.imdb.com//title/tt0093605/,7.0,94,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.,O filho de um fazendeiro de cidade pequena se junta com relutância a um grupo de vampiros que viajam depois que ele é mordido por um lindo vagabundo.,Quando Chega a Escuridão,32670,1987,Action,0
"Action, Adventure, Crime",https://www.imdb.com//title/tt0120179/,3.9,121,A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.,Um hacker de computador invade o sistema de computador do navio de cruzeiro Seabourn Legend e o acelera em rota de colisão em um gigantesco navio petroleiro.,Velocidade Máxima 2,73312,1997,Action,1
"Action, Adventure, Thriller",https://www.imdb.com//title/tt1366365/,4.9,93,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.","Depois que sua família é sequestrada durante sua viagem de barco à Espanha, um jovem comerciante de Wall Street é confrontado pelos responsáveis: agentes de inteligência que procuram recuperar uma misteriosa maleta.",Fuga Implacável,34812,2012,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1877832/,8.0,132,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Os X-Men enviam Wolverine ao passado em um esforço desesperado para mudar a história e impedir um evento que resulta em destruição para humanos e mutantes.,X-Men: Dias de um Futuro Esquecido,648981,2014,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt3110958/,6.5,129,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",Os Quatro Cavaleiros ressurgem e são recrutados à força por um gênio da tecnologia para realizar seu assalto mais impossível ainda.,Truque de Mestre: O 2º Ato,239656,2016,Action,1
"Action, Horror, Sci-Fi",https://www.imdb.com//title/tt0228333/,4.9,98,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.","Em 2176, uma unidade policial marciana é enviada para pegar um criminoso altamente perigoso em um posto remoto de mineração. Ao chegar, os policiais descobrem que o posto se tornou uma casa de charnel.",Fantasmas de Marte,50188,2001,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt0800320/,5.8,106,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","O semideus de Perseu, filho de Zeus, luta contra os servos do submundo para impedi-los de conquistar o céu e a terra.",Fúria de Titãs,266587,2010,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt1872181/,6.6,142,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","Quando Nova York é sitiada pela Oscorp, cabe ao Homem-Aranha salvar a cidade que ele jurou proteger, assim como seus entes queridos.",O Espetacular Homem-Aranha 2: A Ameaça de Electro,408361,2014,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt0311113/,7.4,138,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","Durante as guerras napoleônicas, um impetuoso capitão britânico empurra seu navio e sua tripulação ao limite em busca de um formidável navio de guerra francês na América do Sul.",Mestre dos Mares: O Lado Mais Distante do Mundo,197849,2003,Action,0
"Action, Sci-Fi, Thriller",https://www.imdb.com//title/tt1981128/,5.3,109,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","Quando a rede de satélites projetados para controlar o clima global começa a atacar a Terra, é uma corrida contra o relógio para seu criador descobrir a ameaça real antes que um Geostorm em todo o mundo acabe com tudo e com todos.",Tempestade: Planeta em Fúria,90407,2017,Action,1
"Action, Crime, Sci-Fi",https://www.imdb.com//title/tt0119094/,7.3,138,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind, who murdered his only son. The plan turns sour when the criminal wakes up prematurely and seeks revenge.","Para frustrar uma conspiração terrorista, um agente do FBI passa por uma cirurgia de transplante facial e assume a identidade de um autor criminoso, que matou seu único filho. O plano fica azedo quando o criminoso acorda prematuramente e busca vingança.",A Outra Face,342579,1997,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1648190/,5.6,95,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,"Um garoto assombrado por visões de uma torre escura de uma realidade paralela se une ao guardião desiludido da torre para impedir um bruxo malvado conhecido como o Homem de Preto, que planeja usar o garoto para destruir a torre e abrir os portões do Inferno.",A Torre Negra,123183,2017,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt5807780/,9.3,,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.","Quando um novo vilão ameaça Nova York, os mundos de Peter Parker e do Homem-Aranha colidem. Para salvar a cidade e aqueles que ele ama, ele deve se levantar e ser maior.",Spider-Man,11662,2018,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt0416236/,6.5,96,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.","Ao se mudarem para a Spiderwick Estate em ruínas com sua mãe, os irmãos gêmeos Jared e Simon Grace, juntamente com sua irmã Mallory, se vêem atraídos para um mundo alternativo, cheio de fadas e outras criaturas.",As Crônicas de Spiderwick,86390,2008,Action,0
"Action, Sci-Fi, Thriller",https://www.imdb.com//title/tt1034032/,5.8,95,"In a future mind-controlling game, death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive thirty sessions in order to be set free.","Em um futuro jogo de controle mental, os condenados no corredor da morte são forçados a batalhar em um ambiente do tipo 'Doom'. Convict Kable, controlado por Simon, um jogador adolescente habilidoso, deve sobreviver a trinta sessões para ser libertado.",Gamer - Jogo Mortal,128545,2009,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0457400/,5.3,102,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.","Em sua última expedição, o Dr. Rick Marshall é sugado para um vórtice no espaço-tempo ao lado de seu assistente de pesquisa e um sobrevivente caipira. Nesse universo alternativo, o trio faz amizade com um primata chamado Chaka, seu único aliado em um mundo cheio de dinossauros e outras criaturas fantásticas.",O Elo Perdido,64370,2009,Action,0
"Action, Crime, Drama",https://www.imdb.com//title/tt2980592/,6.7,100,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.","Um soldado se apresenta à família Peterson, alegando ser amigo do filho que morreu em ação. Depois que o jovem é recebido em sua casa, uma série de mortes acidentais parece estar ligada à sua presença.",O Hóspede,88202,2014,Action,1
"Action, Mystery, Romance",https://www.imdb.com//title/tt1757202/,7.9,60,"The National Security Service (NSS) is a secret South Korean black ops agency that takes on a secret terrorist organization, called IRIS.",O Serviço de Segurança Nacional (NSS) é uma agência secreta de operações negras da Coréia do Sul que controla uma organização terrorista secreta chamada IRIS.,Ailiseu,1544,2009,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt1077258/,7.1,105,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.","Depois que uma arma biológica experimental é lançada, transformando milhares em criaturas parecidas com zumbis, cabe a um grupo de sobreviventes parar os infectados e os que estão por trás do lançamento.",Planeta Terror,197109,2007,Action,0
"Action, Mystery, Thriller",https://www.imdb.com//title/tt1590193/,6.3,104,An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Um thriller de ação no qual um vendedor de seguros / ex-policial é pego em uma conspiração com risco de vida durante seu trajeto diário para casa.,O Passageiro,99256,2018,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt2106651/,6.3,107,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,Uma história de ficção científica / suspense centrada em uma equipe de operações especiais que é despachada para combater seres sobrenaturais.,Spectral,49867,2016,Action,1
"Action, Comedy, Fantasy",https://www.imdb.com//title/tt1727434/,7.0,22,"Ethan Morgan, his half-vampire babysitter and pals battle against creatures from their nightmares.","Ethan Morgan, sua babá meio-vampira e amigos lutam contra criaturas de seus pesadelos.",Minha Babá é Uma Vampira,3614,2011,Action,0
"Action, Horror, Thriller",https://www.imdb.com//title/tt0462322/,7.5,191,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,"A homenagem de Quentin Tarantino e Robert Rodriguez à exploração é dupla nos anos 60 e 70, com dois filmes cult consecutivos, que incluem pré-visualizações das próximas atrações entre eles.",Grindhouse,175981,2007,Action,0
"Action, Comedy, Family",https://www.imdb.com//title/tt3596174/,5.6,30,"Looking for a part-time job, 13-year-old Henry Hart finds himself helping super hero Captain Man as his sidekick, keeping the secret from his family and friends.","Procurando um emprego de meio período, Henry Hart, de 13 anos, encontra-se ajudando o super-herói Capitão Man como seu ajudante, mantendo o segredo de sua família e amigos.",Henry Danger,2924,2014,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt0449088/,7.1,169,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","O capitão Barbossa, Will Turner e Elizabeth Swann devem sair da borda do mapa, navegar na traição e traição, encontrar Jack Sparrow e fazer suas alianças finais para uma última batalha decisiva.",Piratas do Caribe: No Fim do Mundo,583855,2007,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt6921996/,6.2,89,"After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English (Rowan Atkinson) is forced to come out of retirement to find the mastermind hacker.","Depois que um ataque cibernético revela a identidade de todos os agentes secretos ativos na Grã-Bretanha, Johnny English (Rowan Atkinson) é forçado a sair da aposentadoria para encontrar o hacker idealizador.",Johnny English 3.0,59688,2018,Action,1
"Action, Drama, Sci-Fi",https://www.imdb.com//title/tt0120461/,5.5,104,"A volcano erupts in downtown Los Angeles, threatening to destroy the city.","Um vulcão entra em erupção no centro de Los Angeles, ameaçando destruir a cidade.",Volcano: A Fúria,70805,1997,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt0105946/,8.3,45,"In the mid 23rd Century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years.","Em meados do século 23, a estação espacial Babylon 5 da Aliança Terrestre, localizada em território neutro, é um importante ponto focal para intrigas políticas, tensões raciais e várias guerras ao longo de cinco anos.",Babylon 5,27299,1993,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1386697/,6.0,123,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Uma agência secreta do governo recruta alguns dos super-vilões encarcerados mais perigosos para formar uma força-tarefa defensiva. Sua primeira missão: salvar o mundo do apocalipse.,Esquadrão Suicida,584044,2016,Action,1
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1618442/,6.0,106,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,O último caçador de bruxas é tudo o que existe entre a humanidade e as forças combinadas das bruxas mais horripilantes da história.,O Último Caçador de Bruxas,92647,2015,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt4073790/,5.7,104,"Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.","Preso por um mundo adulto que agora teme todos os menores de 18 anos, um grupo de adolescentes forma um grupo de resistência para lutar e recuperar o controle de seu futuro.",Mentes Sombrias,26923,2018,Action,1
"Action, Comedy, Fantasy",https://www.imdb.com//title/tt0092991/,7.8,84,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,O único sobrevivente de um ataque de espíritos possuidores de carne se esconde em uma cabana com um grupo de estranhos enquanto os demônios continuam seu ataque.,Uma Noite Alucinante 2,144233,1987,Action,1
"Action, Adventure, Family",https://www.imdb.com//title/tt1098327/,2.5,85,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","O jovem guerreiro Son Goku parte em uma missão, correndo contra o tempo e o vingativo rei Piccolo, para coletar um conjunto de sete esferas mágicas que garantirão ao seu portador um poder ilimitado.",Dragonball Evolution,69093,2009,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt4154858/,5.0,43,An isolated community of superhumans fight to protect themselves.,Uma comunidade isolada de super-humanos luta para se proteger.,Inumanos,21245,2017,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0058855/,8.1,50,"Two Secret Service Agents, equipped with a wide array of gizmos, work for the government in the Old West.","Dois agentes do serviço secreto, equipados com uma grande variedade de aparelhos, trabalham para o governo no Velho Oeste.",James West,4177,1965,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt1790809/,6.6,129,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,O capitão Jack Sparrow é perseguido pelo antigo rival Capitão Salazar e uma equipe de fantasmas mortais que escaparam do Triângulo do Diabo. Eles estão determinados a matar todos os piratas no mar ... principalmente o Jack.,Piratas do Caribe: A Vingança de Salazar,253295,2017,Action,1
"Action, Adventure, Drama",https://www.imdb.com//title/tt0314979/,8.6,183,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Após a destruição das Doze Colônias de Kobol pelos Cylons, uma frota fugitiva dos últimos remanescentes da humanidade foge dos Cylons perseguidores, enquanto procura ao mesmo tempo seu verdadeiro lar: a Terra.",Battlestar Galactica,66835,2003,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt0084749/,5.6,100,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,Um mercenário com uma espada de três lâminas redescobre o futuro perigoso de sua herança real quando é recrutado para ajudar uma princesa a frustrar os desígnios de um tirano brutal e um poderoso feiticeiro na conquista de uma terra.,A Espada e os Bárbaros,5490,1982,Action,0
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt0848228/,8.0,143,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Os heróis mais poderosos da Terra devem se unir e aprender a lutar em equipe, se quiserem impedir que o travesso Loki e seu exército alienígena escravizem a humanidade.",The Avengers: Os Vingadores,1238790,2012,Action,1
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0327850/,6.7,104,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.,"Um forte aspirante a chef é contratado para levar para casa o filho de um mafioso da Amazônia, mas se envolve na luta contra um operador opressivo da cidade e na busca de um tesouro lendário.",Bem-Vindo à Selva,99629,2003,Action,0
"Action, Adventure, Drama",https://www.imdb.com//title/tt1462059/,7.2,42,Survivors of an alien attack on earth gather together to fight for their lives and fight back.,Sobreviventes de um ataque alienígena na Terra se reúnem para lutar por suas vidas e revidar.,Falling Skies,84447,2011,Action,1
